title,state,html_url,Features,Notes
[Feature request] Support for quantized (INT8) training and inference,closed,https://github.com/pytorch/pytorch/issues/7553,"Feature request, invalid",
[proposal] [discussion] Refactor pruning/weight_norm/spectral_norm using new Reparametrization functionality,open,https://github.com/pytorch/pytorch/issues/7313,"Feature request, invalid",
FX: log spew during FX graph mode quantization due to get_attr targeting packed_params,closed,https://github.com/pytorch/pytorch/issues/70083,"Not a bug, invalid",
Anaconda nightly builds don't prune osx-arm64 platform,open,https://github.com/pytorch/pytorch/issues/70043,"CI/CD, invalid",
fx graph mode quant - torch.sort after quantization not scriptable,open,https://github.com/pytorch/pytorch/issues/69977,"RuntimeError, Unsupported",No attribute ‘dequantize’
quantized batchnorm parameters/buffers not saved in state_dict,open,https://github.com/pytorch/pytorch/issues/69808,"Information missing, Wrong result",parameters not saved in state_dict
[quant] Add support for ConvTranspose2d + BN fusion,open,https://github.com/pytorch/pytorch/issues/69797,"Feature request, invalid",
DBR quant - delete floating point weights after weight packing,open,https://github.com/pytorch/pytorch/issues/69536,"Feature request, invalid",
DBR quant - add test for serialization,open,https://github.com/pytorch/pytorch/issues/69535,"Feature request, Testing, invalid",
[quantization] Failed to save & reload quantized model,closed,https://github.com/pytorch/pytorch/issues/69426,"Users' API misuse, invalid",
[feature request] quantized operators on CUDA,open,https://github.com/pytorch/pytorch/issues/69364,"Feature request, invalid",
"[feature request] More masked reductions: amin/amax, argmin/argmax, quantile, mean/var/std/std_mean/var_mean",open,https://github.com/pytorch/pytorch/issues/69359,"Feature request, invalid",
torch.max/torch.min in Fx quantization might have a tuple ouput,open,https://github.com/pytorch/pytorch/issues/69307,invalid,
"The quantization scripts of TorchVision no longer work using the latest nightly of Core ",closed,https://github.com/pytorch/pytorch/issues/69235,"RuntimeError, Unsupported",QAT of TorchVision
distributed/algorithms/ddp_comm_hooks/test_ddp_hooks and distributed/algorithms/quantization/test_quantization don't run in OSS CI,open,https://github.com/pytorch/pytorch/issues/69017,"CI/CD, Testing, invalid",
ONNX export support for quantize_fx,open,https://github.com/pytorch/pytorch/issues/68638,"RuntimeError, Unsupported",ONNX since 1.10
quantization of basic 3D ops missing?,closed,https://github.com/pytorch/pytorch/issues/68635,"RuntimeError, Unsupported",conv3d
Change comparison strategy for quantized tensors,open,https://github.com/pytorch/pytorch/issues/68548,"Feature request, invalid",
Quantization: torch._make_per_channel_quantized_tensor doesn't work well,closed,https://github.com/pytorch/pytorch/issues/68322,"RuntimeError, Shape error",Setting strides is possible only on uniformly quantized tensor
quantized linear dynamic should get reduce range from the observer rather than overwritting it in qnnpack/fbgemm,open,https://github.com/pytorch/pytorch/issues/68278,"Layer operation, Wrong result",not working for qnnpack
FX graph mode quantization broken for torchvision MobileNetV3,open,https://github.com/pytorch/pytorch/issues/68250,"RuntimeError, Unsupported",MobileNetV3
Support for quantized model's function,closed,https://github.com/pytorch/pytorch/issues/67967,"RuntimeError, Unsupported",Parameter iterator
how to set the quantized data type in QAT,closed,https://github.com/pytorch/pytorch/issues/67965,"invalid, question",
"Trying to quantize and save a pre-trained deberta model, where i get a runtime error ",open,https://github.com/pytorch/pytorch/issues/67687,"RuntimeError, Unsupported",Function XSoftmax
MultiHeadAttention in quantizable seems incorrect with batch_first=True,open,https://github.com/pytorch/pytorch/issues/67651,"Layer operation, Wrong result",Wrong concat of tensors
torch.kthvalue (and maybe torch.quantile) should support argument descending/largest (=True) like topk/sort,open,https://github.com/pytorch/pytorch/issues/67597,"Feature request, invalid",
RuntimeError: quantile() input tensor is too large,closed,https://github.com/pytorch/pytorch/issues/67592,"Users' API misuse, invalid",
" fx graph mode quantizing error  ",open,https://github.com/pytorch/pytorch/issues/67030,"RuntimeError, Type error",List rather than Tuple
[feature request][quant] Support FakeQuant qconfigs in `test_module_init`,open,https://github.com/pytorch/pytorch/issues/66224,"Feature request, invalid",
pytorch mobile: some quant models on android cause memory leak,open,https://github.com/pytorch/pytorch/issues/65734,invalid,No detailed info
"IN the Quantization Aware Training ,when should do quant  and dequant time?",closed,https://github.com/pytorch/pytorch/issues/65321,"invalid, question",
[quant] Add support for Embedding/EmbeddingBag quantization via dynamic quant APIs,closed,https://github.com/pytorch/pytorch/issues/65185,"Feature request, invalid",
Add custom quantization for saved for backwards tensors,closed,https://github.com/pytorch/pytorch/issues/64729,"Feature request, invalid",
torch.ops.quantized.add should handle variable sized arguments,closed,https://github.com/pytorch/pytorch/issues/64660,"RuntimeError, Shape error",Variable sized arguments
Discrepancy in quantization with Pytorch 1.10,closed,https://github.com/pytorch/pytorch/issues/64564,"Invalid value, RuntimeError",FakeQuantize in 1.10
torch.onnx.export crash while export quantized model,open,https://github.com/pytorch/pytorch/issues/64477,"RuntimeError, Unsupported",ONNX
