Title,Number,Symptom,Root cause,Features,Fix,Notes
Model input names are not preserved during TFLite conversion when inference_input_type is tf.int8,889,"layer information lost during conversion, wrong result",API misuse (user),"model:tflite, technique:quantize",use the signature concept,
QAT with trainable=False does not work as expected.,881,"""non-trainable"" weights are changed, wrong result",,technique:quantize,,
G,876,N/A,,invalid,,No detailed information
How to prune a custom tensor? The tensor is a recursive variable and is initialized with tf.zeros.,875,N/A,,"layer:custom, technique:prune",,Question
"QAT in Keras, the layers.Concatenete op is not supported !",874,"ValueError, runtime error",unsupported layer,"layer:custom, layer:keras, technique:quantize",Upgrade tf (2.3 → 2.6),
Quantizing model at runtime during training results in non-learned quantization,869,"inputs are not quantized, wrong result",,"runtime QAT, technique:quantize",,Not reproduced
QAT model saving bug : KeyError: '__inference_depthwise_conv2d_layer_call_fn_126,868,"KeyError, runtime error",incorrect shape,"model I/O, technique:quantize",,
Keras TFOpLambda may conflict with quantization,867,"AttributeError, runtime error",unsupported layer,"layer:TFOpLambda, layer:keras, model I/O, technique:quantize",,Possible workaround provided
Pruning error of transfer learning model MobilenetV3 Large !,864,"ValueError, runtime error",unsupported layer,"model:keras, technique:prune",,
TypeError: unsupported operand type(s) for +: 'NoneType' and 'float,835,"TypeError, runtime error",,invalid,,No detailed information
"https://www.tensorflow.org/model_optimization/guide/pruning/pruning_with_keras when sparsity.UpdatePruningStep() is added in the callbacks list, the following error is shown:",827,N/A,,invalid,,No detailed information
Model with SeparableConvs not converting to QAT,823,wrong result,interaction between tensor/non-tensor layer,"layer:SeperableConv, layer:TFOpLambda, layer:keras, model I/O, technique:quantize",,
WARNING:tensorflow:AutoGraph could not transform <tensorflow_model_optimization.python.core.quantization.keras.quantizers.AllValuesQuantizer object at 0x7f92927f3f90> and will run it as-is.,813,warning,,technique:quantize,,
Activity Regularizer not working with quantization aware training (QAT),802,"AttributeError, runtime error",,"layer:keras, technique:quantize",,
[clustering] Possible wrong implementation of get_weight_from_layer,799,"calcuation error, wrong result","API misuse (user), misuse:get_clusterable_weights",technique:cluster,,
Performance issue in the program,795,performance,loop variable,,https://github.com/tensorflow/model-optimization/pull/815,
ValueError: Unknown object OutputOnlyConfig,773,"ValueError, runtime error",unsupported layer,"OutputOnlyConfig, technique:quantize",https://github.com/tensorflow/model-optimization/pull/774,
wrong inference results of qat int8 model with Conv2DTranspose.,771,"calcuation error, wrong result",,"layer:Conv2DTranspose, technique:quantize",,
RuntimeError: Layer backbone.stage0.0.fuse_layersb2.1.0.0.1:<class 'tensorflow.python.keras.layers.normalization_v2.BatchNormalization'> is not supported. You can quantize this layer by passing a tfmot.quantization.keras.QuantizeConfig instance to the quantize_annotate_layer API.,763,"RuntimeError, runtime error",unsupported layer,"layer:BatchNormalization, need:QuantizeConfig, technique:quantize",,
"pruning cannnot reduce .h5 model size ",760,wrong result,API misuse (user),technique:prune,,
Error processing property '_dropout_mask_cache' when using PrunableLayer with DropoutRNNCellMixin,753,"TypeError, ValueError, runtime error",incorrect type,"layer:RNN, technique:prune",https://github.com/tensorflow/model-optimization/commit/cad07f36b6aa0b3092c0c9cd0e7a9d74b8c36c48,Use model.layers to search prunable layers instead of model.submodules.
Issue loading model with Conv2DTranspose,751,"KeyError, ValueError, runtime error",unsupported layer,"layer:Conv2DTranspose, need:Default8BitConvTransposeQuantizeConfig, technique:quantize",,
Running MobileNet on XNNPACK,735,"ValueError, runtime error",,"PruneForLatencyOnXNNPack, model:keras, technique:prune",,
Assertion error with custom quantize config with per_axis=True,723,"Wrong shape, runtime error",unsupported layer,"layer:custom, technique:quantize",,Feature request. TODO.
Puring cannot reduce tflite model size,722,"non-positive optimization, wrong result",API misuse (user),"model:tflite, technique:prune",,
.../api/quantization/keras/default_8bit missing from the pip package for version 0.5.0,714,"AttributeError, runtime error",unsupported layer,"need:Default8BitQuantizeScheme, technique:quantize",Upgrade tfmot (0.5.0 → 0.5.1),
Converting a pruning model in a TFlite model,668,"InvalidArgumentError, runtime error",incorrect type,technique:prune,,https://stackoverflow.com/questions/60583904/tensorflow-converting-a-pruned-model-to-a-lower-quantization-with-tflite
Error reported when prunning one tf-keras layer,662,"AssertionError, runtime error",,"lifecycle:train, technique:prune",,
Cannot quantise a model with a MultiHeadAttention layer,661,"Wrong shape, runtime error",incorrect shape,"layer:MultiHeadAttention, technique:quantize",https://github.com/tensorflow/model-optimization/commit/3d73ed2e8676ff2585a7086e283a01fb155c3580,
Clustering wrapper will not build with more than one clusterable weight,659,"ValueError, runtime error",unsupported layer,technique:cluster,https://github.com/tensorflow/model-optimization/pull/616,
can not quantize SeparableConv2D layer for QAT,655,"IndexError, runtime error",unsupported layer,"layer:SeparableConv2D, technique:quantize",PR #607,
TypeError: tf__call() got an unexpected keyword argument 'name',652,"TypeError, runtime error",API misuse (user),technique:quantize,Change reshape API: tf.reshape → keras.layers.Reshape,
Problem regarding loading a QAT SavedModel,644,"KeyError, runtime error",,"model I/O, technique:quantize",,
Error creating graph: Invalid argument: Input 0 of node quant_conv1/cond/LastValueQuant/AssignMinLast was passed float from quant_conv1/cond/LastValueQuant/AssignMinLast/Switch:1 incompatible with expected resource,643,"InvalidArgumentError, runtime error",,"model I/O, technique:quantize",,
Creating a saved_model_dir in google colab? -- Converting pb model to tflite,640,N/A,API misuse (user),model I/O,,
prune_low_magnitude is not working on tf<2.4,636,"TypeError, runtime error",unsupported layer,technique:prune,Upgrade tf to 2.4,
Symmetric quantization returns nonzero value for 0 on GPU,635,"calcuation error, wrong result",tf upstream,technique:quantize,PR tf#48580,
OOM errors when running tests with bazel,633,"out of memory, runtime error",API misuse (user),submodule:testing,PR #630,
Sparsity is not correctly checked in pruning integration test,631,N/A,API misuse (user),submodule:testing,PR #630,
Possible tolerance issue for transpose_conv,627,test tailed,,submodule:testing,,temporal error
0.5.0 in Pypi does not match the zip in github releases,623,N/A,N/A,invalid,,pypi issue
"After QAT and TFLite converter, the type of input and output of averagepooling2d node is not same",622,"Wrong shape, wrong result",tf upstream,technique:quantize,Upgrade to tf 2.6.0 rc0,
ValueError: Unknown layer: AnchorBoxes quantization,620,"ValueError, runtime error",API misuse (user),technique:quantize,Fix call argument,
Can not use load_model() for quantized models (.pb format),608,"KeyError, runtime error",API misuse (user),model I/O,Use model in .h5 format,
Converting model to tflite without optimization option,605,N/A,N/A,invalid,,Question
Cannot restore a checkpoint on a pruned model without 'Unresolved object in checkpoint: (root).optimizer.*',603,warning,API misuse (user),"model I/O, technique:prune",,
Polynomial decay for pruning schedule doesn't prune the weight,601,"non-positive optimization, wrong result",,"layer:Conv2DTranspose, schedule:PolynomialDecay, technique:prune",,
" After quantization aware training, the inference time of the int8 tflite model is slower than float32 in the CPU",599,"non-positive optimization, performance","platform optimization, tf upstream",technique:quantize,#657,
Model: Quantization Aware Training,595,"TypeError, runtime error",N/A,technique:quantize,tf 2.3.1,
Unable to get tfmot version from API,594,lack of API,N/A,invalid,next release,feature request
Unable To Prune Subclassed Keras Model With Custom Loop,590,"AttributeError, runtime error",API misuse (user),technique:prune,build the model first,
